Id,OpenTime,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberOfTrades,TakerBuyBaseAssetVolume,TakerBuyQuoteAssetVolume,Unused
75,1509321600000,6133.01,6248.68,6030.00,6120.50,1473.69,1509407999999,9030219.29,9027,568.13,3484470.97,
76,1509408000000,6120.52,6498.01,6100.00,6463.00,1511.77,1509494399999,9487640.84,12503,666.76,4189144.87,
77,1509494400000,6463.00,6774.67,6338.02,6753.98,1675.62,1509580799999,10951171.07,16775,681.76,4456444.96,
78,1509580800000,6753.98,7300.00,6685.10,7019.98,2503.61,1509667199999,17369001.33,20222,1152.04,8002005.81,
79,1509667200000,7010.31,7346.34,6923.00,7115.04,1891.50,1509753599999,13614451.75,15375,790.19,5689002.21,
80,1509753600000,7115.02,7480.99,6901.00,7357.09,1399.19,1509839999999,10064538.40,13395,638.39,4597312.95,
81,1509840000000,7357.27,7590.25,7279.02,7345.01,1207.83,1509926399999,9000403.87,11090,540.68,4027338.88,
82,1509926400000,7345.10,7401.00,6906.00,6960.12,1763.02,1510012799999,12673524.62,13525,730.00,5258426.97,
83,1510012800000,6981.72,7198.49,6901.00,7064.04,1440.26,1510099199999,10173272.34,13132,591.19,4181187.39,
84,1510099200000,7070.00,7770.02,6651.00,7303.00,2822.30,1510185599999,20491286.20,24381,1291.34,9394534.42,
85,1510185600000,7303.01,7392.00,7015.00,7079.99,1913.40,1510271999999,13798534.35,13818,724.15,5221300.63,
86,1510272000000,7079.00,7279.91,6255.01,6506.98,3254.70,1510358399999,22083345.18,18889,1565.26,10594456.21,
87,1510358400000,6503.00,6797.98,6100.00,6245.05,2754.16,1510444799999,17681445.46,17840,1127.48,7260382.62,
88,1510444800000,6245.05,6630.00,5325.01,5811.03,4968.48,1510531199999,29711508.60,31069,2267.41,13607604.42,
89,1510531200000,5839.94,6697.47,5699.99,6465.99,2621.24,1510617599999,16498136.10,16165,1300.00,8190123.55,
90,1510617600000,6465.99,6684.98,6311.07,6574.99,1254.29,1510703999999,8168729.97,10476,612.14,3991112.73,
91,1510704000000,6575.99,7298.00,6575.99,7240.06,1779.61,1510790399999,12446186.45,10313,958.59,6705958.03,
92,1510790400000,7240.14,7940.00,7076.00,7864.50,2331.96,1510876799999,17499577.26,14961,1196.41,8973214.57,
93,1510876800000,7876.98,7989.00,7451.00,7699.19,3982.40,1510963199999,31024092.62,22012,1910.21,14893068.97,
94,1510963200000,7680.01,7819.99,7422.00,7761.94,3954.27,1511049599999,30334498.32,18383,1891.34,14512569.89,
95,1511049600000,7761.94,8123.15,7650.33,8038.00,3867.34,1511135999999,30322635.77,14897,2097.61,16448877.85,
96,1511136000000,8057.11,8319.99,7954.00,8212.00,3886.63,1511222399999,31567135.39,20101,1816.37,14741452.73,
97,1511222400000,8212.49,8400.00,7801.00,8119.51,4544.47,1511308799999,37074997.58,20798,2222.29,18131894.11,
98,1511308800000,8091.09,8322.68,8091.09,8205.92,3545.01,1511395199999,29124078.47,14752,1823.86,14992767.18,
99,1511395200000,8233.03,8260.00,8000.00,8019.99,4093.95,1511481599999,33400703.00,16625,2163.76,17665030.25,
100,1511481600000,8019.97,8369.00,7850.00,8138.00,4411.79,1511567999999,35840264.46,19754,2166.43,17613353.74,
101,1511568000000,8138.99,8734.78,8090.00,8700.01,4292.62,1511654399999,36093005.20,18632,2294.92,19306904.20,
102,1511654400000,8700.04,9350.00,8604.72,9128.02,4147.38,1511740799999,37138533.84,19268,2035.29,18226481.89,
103,1511740800000,9128.00,9654.28,9112.04,9650.00,4521.63,1511827199999,42961064.95,22806,2433.45,23145323.65,
104,1511827200000,9650.00,9939.00,9570.50,9896.80,4917.21,1511913599999,48235644.06,18923,2431.14,23851135.77,
105,1511913600000,9896.79,11300.03,8520.00,9687.88,13352.54,1511999999999,135976167.46,47894,8662.63,88423971.29,
106,1512000000000,9687.88,10900.00,8850.80,9838.96,9389.57,1512086399999,91430904.34,41153,5360.66,52384338.04,
107,1512086400000,9837.00,10898.00,9380.00,10782.99,6134.92,1512172799999,62260697.58,32375,3269.87,33193672.17,
108,1512172800000,10775.04,11190.00,10620.00,10890.01,4765.44,1512259199999,52046689.84,29694,2390.19,26111051.98,
109,1512259200000,10902.69,11825.00,10500.00,11165.41,5346.64,1512345599999,60350708.29,39335,2574.25,29090180.16,
110,1512345600000,11165.41,11600.00,10802.00,11579.00,4663.42,1512431999999,52814985.64,32232,2516.86,28512751.47,
111,1512432000000,11571.03,11853.00,11447.68,11699.99,5550.73,1512518399999,64721253.05,31317,3135.63,36570499.66,
112,1512518400000,11699.99,13615.23,11665.58,13550.05,6707.95,1512604799999,84409526.70,40196,3830.10,48223185.57,
113,1512604800000,13541.01,16649.96,13050.00,16599.00,7487.07,1512691199999,109555325.35,57541,3931.04,57501459.77,
114,1512691200000,16599.00,17204.99,14015.00,15880.00,17589.01,1512777599999,271586476.62,84727,11950.29,184080403.14,
115,1512777600000,15880.01,16269.30,12535.00,14656.07,13918.76,1512863999999,205372672.99,66738,7988.32,118308773.58,
116,1512864000000,14664.01,15720.12,12368.00,14899.98,16553.04,1512950399999,233767963.46,80669,8736.87,123176894.49,
117,1512950400000,14946.26,17470.00,14901.08,16587.97,11820.40,1513036799999,193045127.90,71373,5905.23,96386375.06,
118,1513036800000,16587.97,16976.45,15875.00,16349.99,9436.80,1513123199999,155716213.10,76032,4395.05,72561808.36,
119,1513123200000,16349.99,16546.00,14666.56,16033.29,12416.33,1513209599999,196769674.31,83847,6127.96,97124627.49,
120,1513209600000,16030.34,16445.00,15450.00,16334.98,11616.87,1513295999999,186092495.18,86150,5999.08,96150362.11,
121,1513296000000,16334.98,17991.00,16298.45,17539.83,9181.27,1513382399999,159809704.04,85478,4712.58,81924043.94,
122,1513382400000,17516.81,19539.00,17190.01,19102.66,4202.63,1513468799999,76293721.37,51777,2308.85,41958921.18,
123,1513468800000,19120.19,19798.68,18510.00,18860.02,9177.18,1513555199999,175867439.47,84581,4197.96,80497172.93,
124,1513555200000,18860.04,19300.00,17029.98,18856.25,10624.63,1513641599999,196339245.75,91956,4690.30,86666689.06,
125,1513641600000,18856.25,18950.00,16300.00,17295.20,13210.75,1513727999999,232790625.92,116569,5740.51,101134115.92,
126,1513728000000,17295.20,17720.35,14777.66,16488.98,13450.50,1513814399999,221193892.50,129762,5732.66,94404363.83,
127,1513814400000,16480.52,17309.50,14022.00,15492.64,20324.22,1513900799999,320176825.29,117731,11672.76,184537677.79,
128,1513900800000,15514.03,15699.34,10961.00,13326.61,36076.27,1513987199999,477509934.72,243261,17556.68,233435309.65,
129,1513987200000,13326.61,14950.00,12978.18,13300.00,13141.54,1514073599999,184759685.33,135005,6547.67,92098774.46,
130,1514073600000,13300.00,13819.99,11640.00,13500.00,28557.53,1514159999999,365709589.60,173557,15365.11,196993097.07,
131,1514160000000,13500.00,14300.00,12708.00,13699.34,15748.21,1514246399999,213139657.63,116416,8834.65,119703848.86,
132,1514246400000,13699.34,16050.00,13533.00,15689.01,15034.67,1514332799999,224843731.90,133133,8436.17,125842113.79,
133,1514332800000,15709.98,16498.05,14200.15,15459.99,14959.86,1514419199999,231229932.48,142202,7843.42,121346099.97,
134,1514419200000,15459.97,15539.99,13150.00,14182.11,21717.86,1514505599999,303401227.99,178032,11431.79,159795892.05,
135,1514505600000,14199.14,14981.00,13850.00,14378.90,18072.01,1514591999999,260911629.22,142100,10502.70,151673949.96,
136,1514592000000,14378.99,14398.85,11750.00,12440.01,19221.16,1514678399999,247803953.75,190204,9530.52,123372468.28,
137,1514678400000,12345.10,14050.11,12149.98,13716.36,11768.99,1514764799999,155283285.37,138893,6085.52,80277167.63,
138,1514764800000,13715.65,13818.55,12750.00,13380.00,8609.92,1514851199999,114799747.44,105595,3961.94,52809747.44,
139,1514851200000,13382.16,15473.49,12890.02,14675.11,20078.09,1514937599999,279717107.43,177728,11346.33,158080088.68,
140,1514937600000,14690.00,15307.56,14150.00,14919.51,15905.67,1515023999999,236116868.34,162787,8994.95,133587333.25,
141,1515024000000,14919.51,15280.00,13918.04,15059.54,21329.65,1515110399999,312781583.80,170310,12680.81,186116793.01,
142,1515110400000,15059.56,17176.24,14600.00,16960.39,23251.49,1515196799999,369321956.49,192969,13346.62,211829900.68,
143,1515196800000,16960.39,17143.13,16011.21,17069.79,18571.46,1515283199999,309216920.99,158242,11007.16,183417769.06,
144,1515283200000,17069.79,17099.96,15610.00,16150.03,12493.13,1515369599999,206194706.37,120269,6779.32,112151163.13,
145,1515369600000,16218.85,16322.30,12812.00,14902.54,26600.61,1515455999999,396569997.16,208642,13756.84,206049582.14,
146,1515456000000,14902.54,15500.00,14011.05,14400.00,14315.00,1515542399999,210630187.46,156656,6841.23,100698572.90,
147,1515542400000,14401.00,14955.66,13131.31,14907.09,17411.00,1515628799999,244011366.76,161476,8529.55,119570139.81,
148,1515628800000,14940.00,14968.68,11400.00,13238.78,33554.72,1515715199999,446587594.69,239416,16422.02,218762237.38,
149,1515715200000,13238.76,14109.78,12500.00,13740.01,16417.16,1515801599999,222516076.27,134452,8117.31,110040020.18,
150,1515801600000,13749.95,14580.00,13706.15,14210.00,12221.51,1515887999999,173086488.55,123639,5574.18,78958098.95,
151,1515888000000,14210.00,14339.50,12569.20,13474.99,17017.89,1515974399999,226525305.13,152364,8288.38,110381556.67,
152,1515974400000,13477.98,14249.99,13147.79,13539.93,14652.09,1516060799999,200614554.54,145362,7431.06,101748315.64,
153,1516060800000,13500.00,13542.93,9035.00,10900.00,63401.17,1516147199999,722150828.15,418243,30353.40,346777069.93,
154,1516147200000,10899.99,11680.99,9037.94,10988.79,72331.80,1516233599999,744154180.13,517293,35412.80,365047291.43,
155,1516233600000,10972.59,11878.82,10435.33,10961.97,48464.43,1516319999999,541289614.06,393112,23814.38,266091805.67,
156,1516320000000,10960.00,11795.00,10360.00,11474.98,34129.38,1516406399999,382773499.23,273271,16871.42,189259676.89,
157,1516406400000,11474.98,13099.00,11412.45,12799.94,28768.86,1516492799999,358561107.78,251647,14389.20,179183657.90,
158,1516492800000,12799.80,12799.80,10965.00,11530.00,41379.77,1516579199999,485289230.82,360207,20574.76,241154449.98,
159,1516579200000,11530.00,11926.35,9900.24,10760.05,43752.61,1516665599999,475716514.21,363264,21300.58,231677479.13,
160,1516665600000,10760.05,11399.00,9905.00,10799.18,37473.92,1516751999999,399419413.23,355286,18747.79,199899519.27,
161,1516752000000,10799.14,11570.48,10500.00,11349.99,27158.59,1516838399999,299470607.43,293429,13087.39,144335221.63,
162,1516838400000,11349.96,11794.05,10950.21,11175.27,20839.95,1516924799999,236081364.97,221040,10201.39,115584688.25,
163,1516924800000,11184.70,11643.00,10311.15,11089.00,33056.87,1517011199999,360482470.17,314720,15330.79,167328952.39,
164,1517011200000,11089.00,11650.00,10842.69,11491.00,18860.77,1517097599999,212663199.53,207478,9208.94,103935891.80,
165,1517097600000,11499.98,12244.00,11408.00,11879.95,16887.34,1517183999999,200211582.94,206247,7342.79,87011013.83,
166,1517184000000,11879.95,11975.02,11139.55,11251.00,14170.38,1517270399999,162110154.88,169199,6016.50,68819972.52,
167,1517270400000,11250.11,11308.42,9900.00,10237.51,25554.37,1517356799999,268978329.51,259212,11388.10,119864289.07,
